,標準代號,第8次 小業別,擴大書審純益率,所得額標準,毛利率,費用率,淨利率
0,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
1,,,,毛利率,費用率,淨利率,
2,A.農、林、漁、牧業,,,,,,
3,,農作物栽培業,,,,,
4,0114--00,蔬菜栽培,4,9,33,22,11
5,0115--00,果樹栽培,4,9,33,22,11
6,0117--11,盆景栽培,4,9,30,19,11
7,0117--99,其他花卉栽培,4,8,23,13,10
8,0119--11,食用菇蕈類菌種培育,4,7,32,24,8
9,0119--99,其他農作物栽培,4,9,30,19,11
10,,畜牧業,,,,,
11,0121--00,牛飼育,4,7,24,16,8
12,0122--00,豬飼育,4,7,24,16,8
13,0123--00,雞飼育,4,6,23,16,7
14,0124--00,鴨飼育,4,6,23,16,7
15,0129--11,羊飼育,4,7,25,16,9
16,0129--12,鹿飼育,4,7,25,16,9
17,0129--13,蜂飼育,4,7,24,16,8
18,0129--14,鵝飼育,4,7,25,16,9
19,0129--99,未分類其他畜牧,4,7,24,16,8
20,,農事及畜牧服務業,,,,,
21,0130--11,農作物採收,6,6,18,10,8
22,0130--12,作物栽培服務,4,7,32,24,8
23,0130--13,作物採收後處理,4,5,18,12,6
24,0130--14,畜牧服務,4,7,24,15,9
25,0130--99,其他農事及畜牧服務,4,7,32,24,8
26,,林業,,,,,
27,0200--11,造林,4,4,24,19,5
28,0200--12,木(竹)炭燒製,4,5,17,11,6
29,0200--13,伐木,4,5,25,19,6
30,0200--99,其他林業,4,8,28,18,10
31,,漁撈業,,,,,
32,0310--11,遠洋漁撈,4,5,24,18,6
33,0310--12,近海及沿岸漁撈,4,5,25,19,6
34,0310--13,內陸漁撈,4,7,23,15,8
35,,水產養殖業,,,,,
36,0322--11,淡水魚塭養殖,4,6,22,15,7
37,0322--12,鹹水魚塭養殖,4,5,21,15,6
38,B.礦業及土石採取業,,,,,,
39,,砂、石採取及其他礦業,,,,,
40,0600--11,大理石採取,4,7,20,12,8
41,0600--13,矽砂採取,5,7,26,17,9
42,0600--14,砂石採取,5,7,26,17,9
43,0600--16,金屬礦採取,4,7,22,14,8
44,0600--99,未分類砂、石採取及其他礦業,3,3,18,14,4
45,C.製造業,,,,,,
46,,肉類加工及保藏業,,,,,
47,0811--11,家畜屠宰,6,8,21,11,10
48,0811--12,家禽屠宰,6,8,21,11,10
49,0812--11,冷凍冷藏肉類製造,6,6,21,14,7
50,0812--12,脫水肉品製造,6,7,26,18,8
51,0812--13,醃漬肉品製造,6,7,22,14,8
52,0812--14,香腸、火腿製造,6,9,22,11,11
53,0812--15,肉類罐頭製造,6,7,24,16,8
54,107年度營利事業各業所得額暨同業利潤標準,,,,,,
55,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
56,,,,,毛利率,費用率,淨利率
57,0812--16,冷凍調理肉類製造,6,6,23,16,7
58,,水產加工及保藏業,,,,,
59,0820--11,冷凍冷藏水產製造,5,6,16,9,7
60,0820--12,脫水水產品製造,6,7,26,18,8
61,0820--15,水產罐頭製造,6,7,24,16,8
62,0820--16,冷凍調理水產品製造,6,7,17,9,8
63,,蔬果加工及保藏業,,,,,
64,0830--11,冷凍冷藏蔬果製造,6,6,24,17,7
65,0830--12,脫水蔬菜、脫水果實製造,6,7,26,18,8
66,0830--13,脫水種子製造,6,7,20,12,8
67,0830--14,醃漬蔬菜、醃漬果實製造,6,7,22,14,8
68,0830--15,果醬製造,6,8,22,12,10
69,0830--16,豆腐(乾、皮)製造,5,6,21,14,7
70,0830--17,豆腐乳、豆豉製造,6,8,22,12,10
71,0830--18,豆漿製造,6,9,23,12,11
72,0830--19,"豆類加工食品(豆腐、豆乾、豆皮、豆腐乳、豆豉、豆漿除外)製造",5,6,21,14,7
73,0830--20,果凍製造,6,9,23,12,11
74,0830--21,蔬果罐頭製造,6,7,24,16,8
75,0830--22,冷凍調理蔬果製造,6,7,26,18,8
76,,動植物油脂製造業,,,,,
77,0840--11,食用植物油製造,6,7,17,9,8
78,0840--99,其他動植物油脂製造,3,4,12,7,5
79,,乳品製造業,,,,,
80,0850--11,奶粉製造,6,7,31,23,8
81,0850--12,鮮乳、調味乳製造,6,7,31,23,8
82,0850--14,鮮奶油、乳酪及乾酪製造,6,11,29,15,14
83,0850--16,冰淇淋製造,6,9,30,19,11
84,0850--99,其他乳品製造,6,7,31,23,8
85,,碾穀、磨粉及澱粉製品製造業,,,,,
86,0861--11,代客碾穀,5,6,23,16,7
87,0861--99,其他碾穀,3,5,19,13,6
88,0862--11,黃豆粉製造,6,11,27,14,13
89,0862--12,薯類製粉、製片、製籤,6,6,12,5,7
90,0862--13,麵粉製造,6,6,12,5,7
91,0862--14,代客磨粉,6,7,36,28,8
92,0862--99,其他磨粉製品製造,6,11,27,14,13
93,0863--11,澱粉製造,6,6,12,5,7
94,0863--12,澱粉糖製造,6,9,23,12,11
95,0863--14,麵筋製造,6,9,23,12,11
96,,動物飼品製造業,,,,,
97,0870--00,動物飼品製造,3,4,14,9,5
98,,其他食品製造業,,,,,
99,0891--11,糕餅麵包製造,6,7,20,12,8
100,0891--99,其他烘焙炊蒸食品製造,6,7,21,12,9
101,0892--11,一般麵條、粉條製造,6,7,16,8,8
102,0892--12,速食麵條、粉條製造,6,8,22,12,10
103,0893--11,紅糖製造,5,7,38,30,8
